Company_name,CEO_name
Magna International,Seetarama Kotagiri
Great Wall Motor,Feng Mu
Jardine Matheson,John Raymond Witt
Warner Bros. Discovery,David M. Zaslav
CIMB Group Holdings,Abdul Rahman bin Ahmad
O'Reilly Automotive,Brad W. Beckham
Asr Nederland,Jos P. M. Baeten
Daiichi Sankyo,Sunao Manabe
Tenaris,Paolo Rocca
Constellation Brands,William A. Newlands
GE Vernova,
Continental,Nikolai Setzer
Samsung SDI,Yoon-Ho Choi
Huaneng Power International,Ke Yu Zhao
Hindalco Industries,Satish P. Pai
Banco de Sabadell,César González-Bueno
Bank of Ireland,Myles O’Grady
Aeon,
Sumitomo Mitsui Trust,Toru Takakura
Walgreens Boots Alliance,Timothy C. Wentworth
NEC,Takayuki Morita
Idemitsu Kosan,Shunichi Kito
Vistra Energy,
W. R. Berkley,Robert Berkley
Corteva,Charles V. Magro
Lincoln National,Ellen Gail Cooper
WEC Energy Group,Scott J. Lauber
Singapore Airlines,Choon Phong Goh
Hikvision,Yang Zhong Hu
Mitsubishi Estate,Atsushi Nakajima
Coupang,Bom Kim
Li Auto,Xiang Li
ServiceNow,Bill McDermott McDermott
Samsung Fire & Marine,Munhwa Lee
China Hongqiao Group,Bo Zhang
Cincinnati Financial,Stephen M. Spray
KeyCorp,Christopher M. Gorman
Block,Jack Patrick Dorsey
PulteGroup,Ryan R. Marshall
Saudi British Bank,Tony Cripps
JFE Holdings,Koji Kakigi
Korea Electric Power,
Banco BPM,Giuseppe Castagna
Omnicom Group,John D. Wren
EnBW Energie Baden-Wurttemberg,Georgios Nikolaos Stamatelopoulos
ACS Actividades de Construccion y Servicios,Juan Santamaría Cases
WW Grainger,Donald G. Macpherson
BOE Technology Group,
Equinix,Adaire Fox-Martin
Nippon Yusen,Takaya Soga
Emaar Properties,
Kuehne & Nagel International,Stefan Paul
KLA,Rick Wallace
Porsche Automobil Holding,Hans Dieter Pötsch
Crown Castle International,Steven J. Moskowitz
Eiffage,Benoît de Ruffray
Sekisui House,Yoshihiro Nakai
Las Vegas Sands,Robert Glen Goldstein
Alcon,David J. Endicott
VICI Properties,Edward Baltazar Pitoniak
Simon Property Group,David E. Simon
Genuine Parts,William P. Stengel
Renesas Electronics,Hidetoshi Shibata
Verbund,Michael Strugl
China Resources Power,Ru Ge Li
Fidelity National Financial,Michael J. Nolan
eBay,Jamie Iannone
Volvo Car,James Rowan
LG Electronics,Joo-wan Cho
Emerson Electric,Surendralal Lanca Karsanbhai
Palo Alto Networks,Nikesh Arora
Assa Abloy,Nico Delvaux
Keyence,Akinori Yamamoto
Sumitomo Electric,Masayoshi Matsumoto
Siemens Energy,Christian Bruch
Steel Dynamics,Mark D. Millett
Grasim Industries,Hari Krishna Agarwal
Aluminum Corp of China,Run Zhou Zhu
Ashtead Group,Brendan Horgan
Sika,Thomas Hasler
Huatai Securities,Yi Zhou
AIB Group,Colin Hunt
Meritz Financial Group,Yong-Beom Kim
Hong Kong Exchanges,Yiting Chan
Fortis (Canada),David G. Hutchens
Targa Resources,Matthew J. Meloy
Ryanair Holdings,Michael O’Leary
3i Group,
Roper Technologies,Laurence Neil Hunn
VakifBank,Abdi Serdar Üstünsalih
Chongqing Changan Auto,Hua Rong Zhu
MGM Resorts,William Joseph Hornbuckle
RenaissanceRe Holdings,Kevin J. O'Donnell
Huishang Bank,Ren Fu Zhang
HCLTech,Chinnaswamy Vijayakumar
Molina Healthcare,Joe Zubretsky
Neste,Matti Lehmus
Thomson Reuters,Steve Hasker
Aegon,Eilard Friese
Bancolombia,Juan Carlos Mora Uribe
ASE Technology Holding,Hung Pen Chang
Rongsheng Petrochemical,Jiong Jiong Xiang
Resona Holdings,Masahiro Minami
Jabil Circuit,Michael Dastoor
Grupo Inbursa,Javier Foncerrada Izquierdo
Biogen,Christopher A. Viehbacher
Daqin Railway,Hong Chen Han
The Estée Lauder Companies,Fabrizio Freda
Suncorp Group,Steve Johnston
SSE,Paul Morton Alistair
Murata Manufacturing,Tsuneo Murata
Celanese,Lori J. Ryerkerk
TransDigm Group,Kevin M. Stein
Beijing-Shanghai High-Speed Railway,Chang Hong Shao
Newmont,Thomas Palmer
Tyson Foods,Donnie D. King
Ageas,Hans de Cuyper
Nidec,Mitsuya Kishida
Zoetis,Kristin C. Peck
CK Asset Holdings,Tzar Kuoi Li
H&M - Hennes & Mauritz,Daniel Ervér
Public Bank,Ah Lek Tay
TELUS,Darren Entwistle
Sampo,Torbjörn Magnusson
Best Buy,Corie Sue Barry
Galp Energia,Filipe Crisóstomo Silva
Shanghai Rural Commercial Bank,
WTW,Carl Aaron Hess
Intuitive Surgical,Gary S. Guthart
Otsuka Holding,Tatsuo Higuchi
Unum Group,Rick McKenney
Universal Music Group,Lucian C. Grainge
The Hershey Company,Michele G. Buck
Otis Worldwide,Judith F. Marks
Digital Realty Trust,Andrew P. Power
Quanta Services,Earl C. Austin
SM Investments,Frederic Cuyegkeng DyBuncio
CDW,Christine A. Leahy
Grupo Bimbo,Rafael Pamias
Realty Income,Sumit Roy
ITC,Sanjiv Puri
ZTE,Zi Yang Xu
T&D Holdings,Kenji Nakagome
Essity,Carl Magnus Groth
Fox,Lachlan Keith Murdoch
Alinma Bank,Abdullah Ali Al Khalifa
Joint Stock Commercial Bank for Foreign Trade of Vietnam,Dung Quang Pham
Mega Financial Holding,Kuang Hua Hu
HF Sinclair,Timothy Go
American Airlines Group,Robert D. Isom
Carnival Corporation,Josh Weinstein
MTR,Chak Pui Kam
Trip.com Group,Jie Sun
Unipol Gruppo,Matteo Laterza
BPER Banca,Gianni Franco Papa
Hilton Worldwide Holdings,Christopher J. Nassetta
Chipotle Mexican Grill,Brian R. Niccol
Power Grid of India,Ravindra Kumar Tyagi
Mapfre,Antonio Huertas Mejías
Fresenius,Michael Sen
CLP Holdings,Tung Keung Chiang
JBS,Gilberto Tomazoni
Mitsubishi UFJ Lease,Daiki Kui
Geely Automobile Holdings,Sheng Yue Gui
Kasikornbank,Kattiya Indaravijaya MBA
Tata Steel,Thachat Viswanath Narendran
Leonardo,Roberto Cingolani
Ameren,Martin J. Lyons
CenterPoint Energy,Jason P. Wells
Cintas,Todd M. Schneider
Daiwa Securities,Akihiko Ogino
Rogers Communications,Anthony Staffieri
China Taiping Insurance,Zhao Jun Yin
Microchip Technology,Ganesh Moorthy
Motorola Solutions,Gregory Q. Brown
TD SYNNEX,Richard T. Hume
Builders FirstSource,David E. Rush
Tohoku Electric Power,Makoto Kaiwa
Corning,Wendell P. Weeks
Credicorp,Gianfranco Piero Ferrari de las Casas
Eletrobrás,Ivan de Souza Monteiro
SK,"Tae-Won Chey, Dong-Hyun Jang"
Kuaishou Technology,Yi Xiao Cheng
Mitsui OSK Lines,Takeshi Hashimoto
Mazda Motor,Akira Marumoto
Sandvik,Stefan Widing
Super Micro Computer,Charles Liang
Tractor Supply,Harry A. Lawton
Flex,Revathi Advaithi
Woolworths,Bradford Banducci
Southwest Airlines,Robert E. Jordan
Jiangxi Copper,Shaobing Zhou
HAL Trust,Jaap N. van Weichen
Philips,Roy Jakobs
PPL,Vincent Sorgi
Workday,Carl M. Eschenbach
Tenaga Nasional,Megat Jalaluddin Hassan
Public Storage,Joseph D. Russell
Mitsubishi Chemical,Manabu Chikumoto
Mediobanca,Alberto Nicola Nagel
Lululemon Athletica,Calvin R. McDonald
Interactive Brokers Group,Milan Galik
Longi Green Energy Technology,Zhen Guo Li
Kyocera,
CP All,
Absa Group,Arrie Rautenbach
Jackson Financial,
Sabanci Holding,Cenk Alper
Henderson Land,"Ka Kit Lee, Ka Shing Lee"
BDO Unibank,Nestor V. Tan
Chongqing Rural Bank,Jian Zhong Liu
TCL,Dong Sheng Li
NASDAQ,Adena T. Friedman
Isuzu Motors,Zhao Jun Yin
Phoenix Group Holdings,Andrew David Briggs
SDIC Power Holdings,Haimiao Yu
Sumitomo Realty,Junji Takashima
Quinenco,José Francisco Pérez Mackenna
Mizrahi Tefahot Bank,Moshe Lari
Evergreen Marine Corp. (Taiwan),
Greenland Holdings Group,
Adidas,Bjørn Gulden
Banca MPS,Luigi Lovaglio
Ford Otosan,Güven Özyurt
Sichuan Road & Bridge,
East Money Information,Li Kun Zheng
Aisin Seiki,Kanshiro Toyoda
Guotai Junan Securities,Hong Bo Shang
Commercial Bank For Investment & Development Of Vietnam,Lam Ngoc Le
Dubai Islamic Bank,Adnan Abdul Shakoor Chilwan
Arista Networks,Jayshree V. Ullal
IndusInd Bank,Sumant Kathpalia
Westinghouse Air Brake Technologies,Rafael O. Santana
Monster Beverage,Rodney Cyril Sacks
Jeronimo Martins,Pedro Manuel de Castro Soares dos Santos
Dollar Tree,Richard W. Dreiling
ON Semiconductor Corp.,Hassane El-Khoury
Ovintiv,Brendan M. McCracken
Hanwha,
Naver,Soo-Yeon Choi
Suzano,Walter Schalka
Expedia Group,Ariane Gorin
Telkom Indonesia,Ririek Adriansyah
Tokyo Gas,Shinichi Sasayama
China National Building,Zhi Ping Song
Fidelity National Information (FIS),Stephanie L. Ferris
Saudi Arabian Mining,
CMS Energy,Garrick J. Rochow
Martin Marietta Materials,C. Howard Nye
AES,Andrés Ricardo Gluski Gluski
Bank Of Chengdu,Tao Wang
Indian Railway Finance,Uma Ranade
Legend Holding,Peng Li
Muyuan Foodstuff,Ying Lin Qin
DuPont De Nemours,Lori D. Koch
Wipro,Srinivas Pallia
Delta Electronics,
Mashreq Bank,Ahmed Mohammed Abdelaal
Molson Coors Brewing,Gavin D. K. Hattersley
GAIL India,Sandeep Kumar Gupta
Moody's,Robert Scott Fauber
Restaurant Brands International,Joshua Arthur Kobza
Eversource Energy,Joseph R. Nolan
Bank Pekao,Leszek Skiba
Teva Pharmaceutical,Richard Francis
Db Insurance,Jeong-Nam Kim
Legrand,Benoît Coquart
Rakuten,Hiroshi Mikitani
Conagra Brands,Sean M. Connolly
Kellanova,Steven A. Cahillane
Schindler Holding,Silvio Napoli
Air France-KLM,Benjamin M. Smith
TBEA,
Bank Negara Indonesia,Royke Tumilaar
Welltower,Shankh S. Mitra
Ericsson,Erik Börje Ekholm
Indian Bank,Shanti Lal Jain
DSM-Firmenich,
Waste Connections,Ronald J. Mittelstaedt
Techtronic Industries,Steven P. Richman
Raizen,
Anta Sports Products,Shi Zhong Ding
Kyushu Electric Power,Masayoshi Nuki
Kone,Philippe Delorme
Semiconductor Manufacturing International,"Mong Song Liang, Hai Jun Zhao"
Itaúsa,Alfredo Egydio Setubal
Halkbank,Osman Arslan
MOL Hungarian Oil,"Zsolt Hernádi, József Molnár"
China Reinsurance Group,Chunlei He
Formosa Petrochemical,
Vedanta Limited,Sunil Duggal
Ferrari,Benedetto Vigna
Shanghai International Port,Jun Yan
Reliance Steel,Karla Renee Lewis
Yuanta Financial Holding,Chien Weng
NVR,
Penske Automotive,Roger S. Penske
St. James's Place,
China Bohai Bank,
China Three Gorges Renewables (Group),Long Zhang
Tongwei,Shu Qi Liu
SCB X Public Company,Arthid Nanthawithaya
Vestas Wind Systems,Henrik Andersen
KE Holdings,
Dassault Systemes,Pascal Daloz
DiDi Global,
SK Innovation,Sang-Kyu Park
CGI,George D. Schindler
American Water Works,M. Susan Hardwick
Textron,Scott C. Donnelly
Pembina Pipeline,J. Scott Burrows
Banque Saudi Fransi,Bader Al Salloom
Fosun International,Chen Qiyu Xu Xiaoliang
Zimmer Biomet,Ivan Tornos
Bangkok Bank,
China National Chemical,Gang Wen
Yum! Brands,David W. Gibbs
Lithia Motors,Bryan B. DeBoer
Aena,Maurici Lucena Betriu
Lonza Group,Albert M. Baehny
Synopsys,Sassine Ghazi
United Microelectronics,
Uni-President,
China Cinda Asset Management,Jian De Gong
Nongfu Spring,Shan Shan Zhong
Scor,Thierry Léger
E.Sun Financial,Yung-Jen Huang
Rockwell Automation,Blake D. Moret
Santos,Kevin Thomas Gallagher
Kirin Holdings,Yoshinori Isozaki
Snam,Stefano Venier
Abu Dhabi Islamic Bank,
KT,Young-Sub Kim
Air Canada,Michael Stewart Rousseau
CarMax,Bill Nash
Dover,Richard Joseph Tobin
Zhejiang Zheneng Electric Power,Wei Min Liu
Sunac China Holdings,Meng De Wang
Ferrovial,Ignacio Madridejos Fernández
PBF Energy,Matthew C. Lucey
Sanlam,Paul Brendan Hanratty
Ulta Beauty,Dave Kimbell
Yamaha Motor,Yoshihiro Hidaka
All Nippon Airways,Shinya Katanozaka
Viatris,Scott Andrew Smith
Chunghwa Telecom,Chao Yang Lin
Live Nation Entertainment,Michael Rapino
Arab National Bank,Obaid bin Abdullah
Coles Group,Leah Weckert
XCMG Construction Machinery,
GS Holdings,Soon-Ki Hong
Franklin Resources,Jenny Johnson
Ametek,David A. Zapico
Extra Space Storage,Joseph D. Margolis
East West Bancorp,Dominic Ng
Flutter Entertainment,Jeremy Peter Jackson
First Financial Holding,Fen Len Chen
Electronic Arts,Andrew P. Wilson
Experian,Brian Jude Cassin
Beiersdorf,Vincent Warnery
Nippon Paint,Masaaki Tanaka
Avis Budget Group,Joseph A. Ferraro
Edwards Lifesciences,Bernard J. Zovighian
Agilent Technologies,Padraig Mcdonnell
Shenzhen Mindray Bio-Medical Electronics,Hao Wu
Brookfield Reinsurance,
Givaudan,Gilles Andrier
Fastenal,Daniel Lars Florness
Vienna Insurance Group,Hartwig Georg Löger
Brookfield Renewable,
Qatar Islamic Bank,Bassel Gamaludin Mohamed Ali
Globalfoundries,Thomas Caulfield
Jinko Solar,
China Resources Pharmaceutical Group,Xiao Song Bai
HD HYUNDAI,
International Flavors & Fragrances,Jon Erik Fyrwald
Adani Power Limited,
Eurobank Ergasias,
Shaanxi Construction Engineering Group,
Voya Financial,Heather Lavallee
Sany Heavy Industry,Hongfu Yu
Bank of India,Rajneesh Karnatak
Dick's Sporting Goods,Lauren R. Hobart
Bank of Changsha,Xiao Zhong Zhao
Luzhou Lao Jiao,Feng Lin
Israel Discount Bank,Avi Levi
China Development Financial,Stefano Paolo Bertamini
Adani Enterprises,Rajesh Shantilal Adani
T Rowe Price,Rob Sharps
Paychex,John Bradley Gibson
Shanghai Construction,"Jia Jun Bian, Junichi Goishi"
Greentown China Holdings,Jia Feng Guo
Orsted,Mads Nipper
Shanxi Xinghuacun Fen Wine Factory,
Paramount,Christopher D. McCarthy
Arca Continental,Arturo Gutiérrez Hernández
Wuchan Zhongda Group,Hong Jiong Song
Baxter International,Joe E. Almeida
Copart,Jeffrey Liaw
Shanghai Pharmaceuticals,Da Wei Liu
China CSSC Holdings,
Darden Restaurants,Ricardo Cardenas
LPL Financial Holdings,Dan Hogan Arnold
Jacobs Solutions,Robert Venkat Pragada
Guosen Securities,Deng Ge
Vonovia,Rolf Buch
National Bank of Greece,Paul K. Mylonas
GF Securities,Li Qin
Hua Nan Financial,Yao qing Li
WestRock,David B. Sewell
Coterra Energy,Thomas E. Jorden
EXOR,John Jacob Philip
SBI Holdings,Yoshitaka Kitao
Hormel Foods,James P. Snee
Nedbank,Jason P. Quinn
M&G,
Vulcan Materials,J. Thomas Hill
WPP,Mark Julian Read
Cadence Design,
AvalonBay Communities,Benjamin W. Schall
Ternium,Máximo Vedoya
Antofagasta,Iván Arriagada Herrera
China Merchants Securities,Jian Tao Xiong
Spotify Technology,Daniel Ek
Grupo Carso,Antonio Gómez Garcia
Osaka Gas,Zheng Hai Zhang
Interpublic Group,Philippe Krakowsky
Kaspi.kz JSC,
APA,John J. Christmann
WH Group,Gordon Lijun Guo
Agnico Eagle Mines,Ammar Al-Joundi
J Sainsbury,Simon John Roberts
Julius Baer Group,Nic Dreckmann
Ingersoll Rand,Vicente Reynal
WEG,Alberto Yoshikazu Kuba
Euronext,Stéphane Boujnah
US Steel,David B. Burritt
Taiwan Cooperative Financial,Mei Tsu Chen
Toll Brothers,Douglas C. Yearley
Arrow Electronics,Sean J. Kerins
Western Digital,David V. Goeckeler
The Mosaic Company,Bruce M Bodine
Fortinet,Ken Xie
ENN Natural Gas,
Kajima,
ENN Energy Holdings,Yu Ying Zhang
Acciona,José Manuel Entrecanales Domecq
UPM-Kymmene,Massimo Reynaudo
Guangzhou Automobile Group,Xing Ya Feng
DaVita,Javier J. Rodriguez
CNPC Capital,Yao Zhong Lu
Constellation Software,Mark Leonard Leonard
Hoya,Eiichiro Ikeda
Banca Mediolanum,Massimo Antonio Doris
Amcor,Peter Konieczny
Xylem,Matthew F. Pine
Marathon Oil,Lee M. Tillman
International Paper,Andrew K. Silvernail
El Puerto de Liverpool,Graciano Francisco Guichard Gonzlez
EMCOR Group,Anthony J. Guzzi
Old Dominion Freight Line,Kevin Marty Freeman
Vibra Energia,
ICON (Ireland),Stephen A. Cutler
US Foods,David E. Flitman
Hexagon,Paolo Guglielmini
Top Frontier Investment Holdings,Ramon S. Ang
Weyerhaeuser,Devin W. Stockfish
Atmos Energy,John Kevin Akers
Terna,Giuseppina di Foggia
Assurant,Keith Warner Demmings
Cathay Pacific Airways,Siu Por Lam
Korea Gas,Hee-Bong Chae
LKQ,Dominick Paul Zarcone
XP,Thiago Maffra
Asustek Computer,S.Y. Hsu Samson Hu
Telecom Italia,Pietro Labriola
Industrivarden,Helena Stjernholm
Echostar,
Krung Thai Bank,
Vivendi,Arnaud Roy de Puyfontaine
Cemex,Fernando Angel González Olivieri
NARI Technology Development,
China Tourism Group Duty Free,Zhu Jun Chang
Equity Residential,Mark J. Parrell
Prysmian,Massimo Battaini
Garmin,Clifton Albert Pemble
MSCI,Henry A. Fernandez
Japan Exchange Group,Hiromi Yamaji
Owens Corning,Brian D. Chambers
Sun Pharma Industries,Dilip Shantilal Shanghvi
Amadeus IT Group,Luis Maroto Camino
Wolters Kluwer,Nancy McKinstry
Bankinter,Gloria Ortiz Portero
American Financial Group,"Carl Henry Lindner, III, S. Craig Lindner, Jr."
SK Telecom,Young Sang Ryu
Investec,Fani Titi
Chow Tai Fook Jewellery,Siu Kee Wong
Fortive,James A. Lico
Sunshine Insurance Group,
First Horizon,D. Bryan Jordan
Rexel,Guillaume Jean Philippe
Ball,Daniel W. Fisher
Caesars Entertainment,Thomas R. Reeg
Howmet Aerospace,John C. Plant
SMC,Yoshiki Takada
ThyssenKrupp Group,Miguel Ángel López Borrego Borrego
Banco Comercial Portugues,Miguel Maya Dias Pinheiro
Attijariwafa Bank,Mohamed El Kettani
YPF,
Stanley Black & Decker,Donald Allan
SQM,Ricardo Ramos Rodríguez
Mitsubishi Motors,Takao Kato
CJ Corporation,"Hong-Gi Kim, Keun-Hee Park"
China Galaxy Securities,Liang Chen
West Japan Railway,Kazuaki Hasegawa
Chugoku Electric Power,Tomohide Karita
Telenor,Sigve Brekke
Universal Health Services,Marc Daniel Miller
Metro,Eric Richer Flèche
Partners Group Holding,David Layton
Hydro One,David Lebeter
China Southern Airlines,Xu Lun Ma
Bayan Resources,Tuck Kwong Low
Vietin Bank,Binh Minh Tran
Olympus,Stefan Kaufmann
StoneX Group,
Yum China Holdings,Joey Wat
Korean Air,"Won-Tae Cho, Gi-Hong Woo"
Autodesk,Andrew Anagnost
Towngas,Wai Yee Wong
WESCO International,John J. Engel
Westlake Chemical,Yuan Chao
Shenzhen Transsion Holding,Zhao Jiang Zhu
Williams-Sonoma,Laura Jean Alber
J.B. Hunt Transport Services,John N. Roberts
Smurfit Kappa Group,Anthony Paul James Smurfit
Jyske Bank,Lars Stensgaard Mørch
Cellnex Telecom,Marco Emilio Angelo
Seazen Group,Xiao Ping Lü
Forvia,Patrick Koller
InterGlobe Aviation,Peter T. M.
AutoNation,Michael Mark Manley
IDEXX Laboratories,Jonathan J. Mazelsky
Sodexo,Sophie Clamens
Dassault Aviation,Éric Trappier
Grupo De Inversiones Suramericana,
Oriental Land,Yumiko Takano
Adani Ports & Special Economic Zone,Ashwani Gupta
Piraeus Financial Holdings,Christos Ioanni Megalou
Performance Food Group,George L. Holm
Webster Financial,John R. Ciulla
iA Financial Corporation,Denis Ricard
Gerdau (Cosigua),
Brenntag,Christian Kohlpaintner
Hunan Valin Steel,Jian Yu Li
Kobe Steel,Mitsugu Yamaguchi
Quest Diagnostics,James E. Davis
Bunzl,Frank Andre van Zanten
GoDaddy,Amanpal S. Bhutani
Compagnie de l'Odet,Vincent Marie Claude
Pan Pacific International Holdings,Naoki Yoshida
AntarChile,Andrés Lehuedé Bromley
Astellas Pharma,Naoki Okamura
Huadian Power International,Bin Chen
Swatch Group,Georges Nicolas Hayek
Randstad N.V.,Alexander M. van't Noordende
Origin Energy,Frank Calabria
Jiangsu Eastern Shenghong,
ResMed,Mick Farrell
BCI-Banco Credito,Eugenio von Chrismar
Jiangsu Yanghe Brewery,Yu Zhong
Bank Of Guiyang,Zong Quan Chen
Norsk Hydro,Eivind Kallevik
Zhongyuan Bank,Dou Rongxing
Vipshop Holdings,Ya Shen
SinoPac Financial,Shih Ting Chu
Industries Qatar,
Grupo Galicia,Fabián Enrique Kon
Csc Financial,Chang Qing Wang
Datang International Power,Yong Pan Liang
Pegatron,
Evolution Gaming Group AB,Martin Olof Carlesund
Keppel,Chin Hua Loh
Olam Group,Sunny George Verghese
S-Oil,Anwar A. Al-Hejazi
A2A,Renato Mazzoncini
China International Capital,Zhao Hui Huang
IDBI Bank,Rakesh Sharma
Dongguan Rural Commercial Bank,
NiSource,Lloyd M. Yates
Helvetia Holding,Fabian Rupprecht
Yuexiu Property,
Bajaj Auto,Rajivnayan Rahulkumar Bajaj
Grupo Aval,Luis Carlos Sarmiento Gutiérrez
BAIC Motor,Wen Bing Huang
Alstom,Henri Poupart-Lafarge
Bâloise Group,Gert de Winter
Masco,Keith J. Allman
Gartner,Eugene A. Hall
Keysight Technologies,Satish C. Dhanasekaran
Evergy,David A. Campbell
Adyen,Pieter van van der Does
Bank of Chongqing,Jun Lin EMBA
Ajinomoto,Taro Fujie
Alpha Bank,Vassilios E. Psaltis
Solventum,
Brown & Brown,J. Powell Brown
Sojitz,Masayoshi Fujimoto
Halyk Bank,Umut Bolatkhanovna Shayakhmetova
Fanuc,Kenji Yamaguchi
Shriram Transport Finance Co.,
Hyundai Marine & Fire,Cheol-Young Lee
Asahi Kasei,Koshiro Kudo
Jefferies Financial,Rich Handler
Labcorp,Adam H. Schechter
Old Mutual,Iain George Williamson
Xiamen International Trade Group,
EQT,Toby Z. Rice
AGCO,Eric P. Hansotia
NetApp,George Kurian
Voestalpine,Herbert Eibensteiner
Verisk Analytics,Lee M. Shavel
Corpay,Ronald F. Clarke
Marfrig Global Foods,Rui Mendonça
Eastman,Mark J. Costa
Western Alliance Bancorp.,Kenneth A. Vecchione
Bank Albilad,Abdul Aziz bin Mohammed Al-Onaizan
Leidos,Thomas A. Bell
PGE Polska Grupa Energetyczna,Dariusz Marzec
China Eastern Airlines,Yang Min Li
Tourmaline Oil,Michael L. Rose
Kerry Group,Edmond Scanlon
Kingspan Group PLC,
Zhongsheng Group Holdings,Guo Qiang Li
Dongfeng Motor Group,
DexCom,Kevin Ronald Sayer
Mettler-Toledo International,Patrick K. Kaltenbach
HBIS,Bin Xu
AGNC Investment,Peter J. Federico
ZTO Express (Cayman),Mei Song Lai
Shanghai Electric Group,Wei Qing Leng
DoorDash,Tony Xu
Tianshan Material,
Campbell Soup,Mark A. Clouse
Marvell Technology,Matthew J. Murphy
Bank of Greece,Konstantinos Panteli Michalidis
Expeditors International,Jeffrey S. Musser
Hyundai Glovis,Kyu-Bok Lee
Storebrand,Odd Arild Grefstad
Brown-Forman,Lawson E. Whiting
Foshan Haitian Flavouring and Food,Pang Kang
Carvana,Ernie Garcia
Wistron,Jian Xun Lin
Alexandria Real Estate Equities,Peter M. Moglia
Beijing Enterprises,Bin Xiong
Coca-Cola HBC,Zoran Bogdanovic
Rheinmetall,Armin Papperger
Gemdale,Rong Hui Li
First Solar,
Evonik Industries,Christian Kullmann
