Company_name,CEO_name
Terumo,Hikaru Samejima
Robinhood Markets,
BJ's Wholesale Club,Robert W. Eddy
Borouge,
Bank of Suzhou,Qiang Wang
Solvay,Philippe Kehren
Comerica,Curtis Chatman Farmer
Wuxi Apptec,"Edward Hu, Ge Li"
Far East Horizon,Fan Xing Kong
Xiamen Xiangyu,
Ares Management,Michael J. Arougheti
TUI,Sebastian Ebel
Epiroc,Helena Hedblom
Metropolitan Bank & Trust,Fabian S. Dee
Shopify,Tobias Albin Lütke
Next,Simon Adam Wolfson
Church & Dwight,Matthew Thomas Farrell
E-mart,Chae-Yang Han
Akzo Nobel,Greg Poux-Guillaume Poux-Guillaume
Rede D'Oro Luiz,Paulo Junqueira Moll
Obayashi,Takeo Obayashi
STRABAG,Klemens Haselsteiner
Grupo Elektra,Ricardo Benjamín Salinas
Valeo,Christophe Périllat-Piratoine EMBA
Galaxy Entertainment,Che Woo Lui
Qantas Airways,Vanessa Hudson
Bawag Group,Anas Abuzaakouk
ACWA Power,
Aristocrat Leisure,Trevor J. Croker
Packaging Corp of America,Mark W. Kowlzan
Zions Bancorp,Harris H. Simmons
FinecoBank,Alessandro Foti
China Mengniu Dairy,Fei Gao EMBA
Broadridge Financial,Tim Gokey
Aramark,John J. Zillmer
Lindt & Sprungli,Adalbert Lechner
Veralto,
Qilu Bank,
Jiangsu Hengrui Medicine,Hong Bin Dai
Hyundai Steel,Gang Hyun Seo
Teledyne Technologies,Edwin Roks
Tokyo Century,Toshihito Tamba
BBMG,Yu Gu
China Jinmao,Tian Hai
Coloplast,Kristian Villumsen
Shin Kong Financial,Olivia Wu
Roivant Sciences,
Carlsberg,Jacob Aarup-Andersen
McCormick,Brendan M. Foley
China Steel,Hsi Chin Wang
Shimao Property Holdings,Wing Mau Hui
Banque Cantonale Vaudoise,Pascal Kiener
Ag Anadolu Grubu Holding Anonim Sirketi,
Asian Paints,Amit Syngle
Wens Foodstuff Group,Ju Ran Yan
Credito Emiliano,Roberto Frignani
China Merchants Expressway Network & Technology Holdings,
Annaly Capital Management,David L. Finkelstein
Latam Airlines,Roberto Alvo Milosawlewitsch
Dollarama,Neil George Rossy
Hong Leong Financial,Kong Khoon Tan
Chongqing Zhifei Biological Products,Ren Sheng Jiang
China Nuclear Engineering Corporation,Xiong Biao Dai
Murphy USA,R. Andrew Clyde
Bank of Tianjin,Philip Eric Rene
HPB,
Trina Solar,
Hotai Motor,
Korea Shipbuilding & Offshore Engineering,Sung-joon Kim
Aeroports de Paris,Augustin Pascal de Romanet de Beaune
China Resources Gas Group,Ping Yang
Motor Oil,Ioannis Vardi Vardinoyannis
Lumen Technologies,Kate E. Johnson
CF Industries Holdings,Tony Will
RHB Bank,Mohd Rashid Mohamad
CJ Cheiljedang,"Shin-Ho Kang, Hyun-Jae Shin"
DISCO Corp.,Kazuma Sekiya
Avery Dennison,Deon M. Stander
China Shipbuilding Industry,Liang Wang
BNK Financial Group,Ji-Wan Kim
Casey's General Stores,Darren M. Rebelez
Huntington Ingalls Industries,Christopher D Kastner
Sandoz Group,
Guangdong Haid Group,Hua Xue
Lamb Weston Holdings,Tom Werner
LG Display,Cheol-Dong Jeong
New World Development,"Chi Kong Cheng, Kar-Shun Cheng"
Zhuhai Huafa Properties,
JDE Peet's,Luc Emile Rene Vandevelde
Rithm Capital,Michael Nierenberg
Unibail-Rodamco-Westfield,Jean-Marie Tritant
Shenwan Hongyuan Group,Hao Huang
Invitation Homes,Dallas B. Tanner
Sumitomo Chemical,Osamu Ishitobi
Toray Industries,Akihiro Nikkaku
Alliant Energy,Lisa M. Barton
Transurban Group,Michelle Jablko
China Communications Services,Zhang Zhiyong
Sinotruk Hong Kong,Bozhi Wang
Commercial Bank of Qatar,
Hubei Biocause Pharmaceutical,
China International Marine,Bo Liang Mai
Secom,Yasuyuki Yoshida
ASM International,Hichem M’Saad
Lundbergs,Lars Fredrik Elis Lundberg
Avnet,Philip R. Gallagher
Kao,Yoshihiro Hasebe
Concordia Financial Group,Yasuyoshi Oya
Globe Life,J. Matthew Darden Frank M. Svoboda
Siam Cement,Thammasak Sethaudom
Deckers Outdoor,Dave Powers
Suntory Beverage & Food,Makiko Ono
WSP,Alexandre J. L'Heureux
Wharf Real Estate Investment,
BIM Birlesik Magazalar,Haluk Dortluoglu
SSAB,
Korea Investment Holdings,Nam-Goo Kim
Hyundai Engineering,Young-Jun Yoon
Charoen Pokphand Foods,Prasit Boondoungprasert
Goodyear,Mark W. Stewart
Military Commercial Joint Stock Bank,Thai Trung Luu
Wintrust Financial,Timothy S. Crane
Jones Lang LaSalle,Christian Ulbrich
Carlisle Cos,
Snap-on,Nicholas T. Pinchuk
Fukuoka Financial Group,Masaaki Tani
CBOE Global Markets,Fredric John Tomczyk
Genmab,Jan G. J. van de Winkel
Booz Allen Hamilton Holding,Horacio D. Rozanski
Advanced Info Service,Somchai Lertsutiwong
BorgWarner,Frédéric B. Lissalde
New York Community Bancorp,Joseph M. Otting
Old Republic International,Craig R. Smiddy
Hubbell,Gerben Wilhelm Marinus Bakker
Lotte Chemical,"Gyo-Hyeon Kim, Byung-Yeon Lim"
Moderna,Stéphane Bancel
Colruyt,Stefan Goethaert
China Longyuan Power,Jian Tang
Hyatt Hotels,Mark Samuel Hoplamazian
Bank of Qingdao,Shao Quan Guo
SGS,Géraldine Picaud
Cleveland-Cliffs,C. Lourenço Gonçalves
Bath & Body Works,Gina R. Boswell
Empire,Michael B. Medline
Ultrapar Participacoes,
Vietnam Technological & Commercial Joint Stock Bank,Jens Lottner
Guangzhou Rural Commercial Bank,Xue Fei Yi
LG,Kwang-Mo Koo
Check Point Software,Gil Shwed
CIFI Holdings Group,Hai Lin Ru
Bank of Guizhou,
VeriSign,D. James Bidzos
Vertiv Holdings,Giordano Albertazzi
Ningxia Baofeng Energy Group,Yuan Guan Liu
Stora Enso,Hans Mikael Sohlström
KPN,Joost F. E. Farwerck
Shenzhen Inovance Technology,Xing Ming Zhu
Chiba Bank,Hidetoshi Sakuma
China Development Bank Financial Leasing,Xue Dong Wang
First Pacific,Manuel Velez Pangilinan
Prada,Andrea Guerra
Albemarle,Jerry Kent Masters
Cosmo Energy Holdings,Shigeru Yamada
Equifax,Mark W. Begor
AppLovin,Adam Foroughi
Knorr-Bremse,Marc Llistosella
Grupo Bolivar,
Brighthouse Financial,Eric Thomas Steigerwalt
Bank of East Asia,"Man Bun Li, Man Kiu Li"
Schaeffler,Klaus Rosenfeld
Japan Airlines,Mitsuko Tottori
AECOM,W. Troy Rudd
Shionogi,Isao Teshirogi
Unicharm,Takahisa Takahara
Taishin Financial Holdings,Welch Lin
Bandai Namco Holdings,Masaru Kawaguchi
Geberit,Christian Buhl
Veeva Systems,Peter P. Gassner
"Hangzhou Binjiang Real Estate Group Co., Ltd.",Hui Ming Zhu
CrowdStrike,George P. Kurtz
"Sumitomo Forestry Co.,",Ryu Yano
Anhui Gujing Distillery,Qing Wu Zhou
News Corp,Robert James Thomson
Banca Popolare di Sondrio,Mario Alberto Pedranzini
SS&C Technologies,William Charles Stone
Ventas,Debra A. Cafaro
Wheaton Precious Metals,Randy Vernon Joseph Smallwood
CPFL Energia,Gustavo Estrella
MTN Group,Ralph Tendai Mupita
Skyworks Solutions,Liam K. Griffin
Sime Darby,Jeffri Salim Davidson
Group 1 Automotive,Daryl A. Kenningham
Dr. Sulaiman Al-Habib Medical Services Group,
Nan Ya Plastics,
PTT Global Chemical,
Sasol,Simon Baloyi
Genworth Financial,Thomas J. McInerney
Macy's,Antony Spring
Falabella,Alejandro González Dale
Fuyao Glass Industry Group,Shu Ye
U-Haul Holding,Edward Joe Shoen
Tata Power Company,
West Pharmaceutical Services,
World Fuel Services,Michael J. Kasbar
Goodman Group,Gregory Leith Goodman
United Therapeutics,Martine A. Rothblatt
Banca Transilvania,Omer Tetik
Qinghai Salt Lake Industry,Kang Min Xie
Shengjing Bank,Zhang Qiyang
Cadence Bank,James D. Rollins
NAURA Technology GroupLtd,Hai Hong Tao
Wynn Resorts,Craig S. Billings
Brambles,Graham Andrew Chipchase
Chesapeake Energy,Nick Dell’Osso
Iveco Group,
Mebuki Financial Group,Satoshi Fujisawa
Royalty Pharma,Pablo Gerardo Legorreta
Sonova Holding,Arnd Kaldowski
Chailease Holding,
Shanghai Commercial & Savings Bank,
Bank OZK,George Gleason
China Huarong Asset Management,Keki M. Mistry
Popular,Ignacio Alvarez
Fair Isaac,
Chang Hwa Bank,
Zoom Video Communications,Eric S. Yuan
InterContinental Hotels,Elie W. Maalouf
HMM,
Migdal Insurance,Yossi Ben Baruch
Shizuoka Financial Group,
Titan (India),Venkataraman Coimbatore
Waters,Udit Batra
Moncler SpA,Remo Ruffini
Shenzhen Overseas,Xiao Wen Wang
Old National Bank,James C. Ryan
Rajesh Exports,
Snowflake,Sridhar Ramaswamy
TMBThanachart Bank,Piti Tantakasem
Whirlpool,Marc Robert Bitzer
Watsco,Albert H. Nahmad
Hellenic Petroleum,Andreas Nikolaos Shiamishis
Cullen/Frost Bankers,Phillip D. Green
Harbin Bank,Zhi Wen Guo
Alfa Laval,Tom Erixon
FCC,
Doosan,"Hyeon-Su Dong, Min-Cheol Kim"
Emera,Scott Carlyle Balfour
China Resources Beer (Holdings),Xiao Hai Hou
Commercial Bank Dubai,Bernardus van Linder
JM Smucker,Mark T. Smucker
RPM International,Frank C. Sullivan
Pinnacle Financial Partners,Terry Turner
AviChina Industry & Technology,Ji Zhong Sun
Virgin Money UK,David Joseph Duffy
C.H. Robinson,David P. Bozeman
Hokuhoku Financial Group,Eishin Ihori
NOV,
Unicaja Banco,Isidro Rubiales Gil
Chandra Asri Petrochemical,Erwin Ciputra
Stifel Financial,Ronald James Kruszewski
Haitong Securities,Jun Li
Gen Digital,Vincent Pilette
Covestro,Markus Steilemann
Metro Group,Steffen Greubel
Inner Mongolia Baotou Steel,Zhigang Liang
Palantir Technologies,Alexander Caedmon Karp
Asbury Automotive Group,David W. Hult
Fortum,Markus Heikki Erdem Rauramo
Mirae Asset Financial Group,Mi-Seob Kim
Ayala Corp,Cezar Peralta Consing
Atlassian,"Michael Cannon, Scott Farquhar"
Jio Financial Services,
PT Amman Mineral Internasional,
SLM,Jonathan W. Witter
Trade Desk,Jeff Green
Hachijuni Bank,Masaki Matsushita
New Hope Liuhe,Ming Gui Zhang
SBA Communications,Brendan Thomas Cavanagh
Electric Power Development,Hitoshi Kanno
Autoliv,Mikael Bratt
United Natural Foods,J. Alexander M.
Midea Real Estate Holding,
Anhui Construction Engineering Group,You Gui Li
Compal Electronics,
Avenue Supermarts,Ignatius Navil Noronha
Beijing Shougang,
BAC Holding International,
Synovus,Kevin Blair
DCC,Donal Murphy
Link REIT,Kwok Lung Hongchoy
Japan Securities,Minoru Masubuchi
Iron Mountain,William Meaney
SKF Group,Rickard Gustafson
D'Ieteren,Francis Deprez
Thai Beverage,Thapana Sirivadhanabhakdi
Zheshang Development Group,
Altice USA,Dennis Mathew
Kyushu Financial Group,Takahiro Kai
Nishi-nippon Financial Holdings,
Rakuten Bank,Hiroyuki Nagai
Starwood Property Trust,Barry Stuart Sternlicht
Tapestry,Joanne C. Crevoiserat
UCB,Jean-Christophe Tellier
Monolithic Power Systems,Michael R. Hsing
Bank of Zhengzhou,Xue Qing Shen
Sinotrans Ltd.,Rong Song
Insurance Australia Group,
North Pacific Bank,Mitsuharu Yasuda
Huaibei Mining Holdings,
Lennox International,Alok Maskara
Airports of Thailand,
Cencosud,Rodrigo Larraín Kaplán
Valley National Bancorp,Ira D. Robbins
Formosa Chemicals,
Hirogin Holdings,
Gold Fields,Michael Fraser
Zhejiang Expressway Co. Ltd.,Wei Wu
Columbia Bank,Clint E. Stein
Datadog,Olivier Pomel
Companhia Energetica de Minas Gerais,
Liberty Global,Michael Thomas Fries
W. P. Carey,Jason E. Fox
Yamaguchi Financial,Keisuke Mukunashi
Jiangsu Zhongnan Construction Group,Yu Han Chen
Thai Oil,
B3,Gilson Finkelsztain
Gap,Richard L. Dickson
Novonesis A/S,Ester Baiget
Power Assets Holdings,Chao Chung Tsai
Sumitomo Metal Mining,Nobumasa Kemori
Commercial International Bank,Hussein Majid Abaza
ARC Resources,
Asia Commercial Bank,Toan Minh Do
Shenzhou International Group Holdings,Guan Lin Huang
AGC,Takuya Shimamura
Adecco Group,Denis Machuel
Avolta,Xavier Espel Rossinyol
Graphic Packaging,Michael P. Doss
BayWa,Marcus Pöllinger
Daou Data,
Brookfield Business,
Dai Nippon Printing,
Skechers USA,Robert Greenberg
EQT AB,Christian Otto Sinding
Jiangxi Bank,Xiao Ming Chen
Jiangsu Changshu Rural Commercial Bank,
Heico,Laurans A. Mendelson
Ansys,Ajei S. Gopal
Kyoto Financial Group,Nobuhiro Doi
Skanska,Anders Danielsson
Arab Bank,
Segro,David John Rivers
Incyte,Herve Hoppenot
Crown Holdings,Timothy Joseph Donahue
Seres Group,
Ampol,Matthew Halliday
Medipal Holdings,Shuichi Watanabe
Wuestenrot & Wuerttembergische,Jürgen Albert Junker
Daishi Hokuetsu Financial Group,
CoStar Group,Andrew C. Florance
Jindal Steel & Power,Sabyasachi Bandyopadhyay
Host Hotels & Resorts,James F. Risoleo
Ceconomy,Karsten Wildberger
Eurazeo,Virginie Sarah S.
Hengyi Petrochemical,
LIC Housing Finance,
Adani Green Energy,
DGB Financial Group,Tae-O Kim
Lasertec,
China Grand Automotive Services,
Gunma Bank,Akihiko Fukai
Bajaj Holdings & Investment,
Celltrion,Wu-Sung Ki
"Chugin Financial Group,Inc.",
Bank of Jiujiang,Ming Pan
KION Group,Richard Robinson Smith
Rite Aid,Jeffrey Scott Stein
Orpea,Laurent Guillot
Focus Media Information Technology,Nan Chun Jiang
CTP,
Umicore,Bart Sap
Warner Music Group,
SBI Sumishin Net Bank,Yoshitaka Kitao
Toppan Printing,Hideharu Maro
Everbright Securities,Ji Ping Liu
Parkland,Robert Berthold Espey
Shanghai Tunnel Engineering Co. Ltd.,Wen Bo Zhou
Taiwan Business Bank,Chih Chien Chang
Telia,Patrik Eduard Hofbauer
77 Bank,Hidefumi Kobayashi
Kawasaki Kisen Kaisha,Koichi Myochin
IDEX,Eric D. Ashleman
Indorama Ventures,
Kingfisher,Thierry Garnier
Braskem,Roberto Bischoff
Lotte Shopping,Sung-Hyun Kang
Gaming And Leisure Properties,Peter M. Carlino
Quilter,Steven David Levin
Bendigo & Adelaide Bank,Marnie A. Baker
Daou Technology,
BOK Financial,Stacy C. Kymes
Marks & Spencer,
Berry Global Group,Kevin J. Kwilinski
WPG Holdings,
Shandong Gold Mining,Qin Liu
China Merchants Port Holdings,Song Xu
PT Adaro Energy Indonesia,Garibaldi Thohir
Advantest,Douglas Lefever
Ooredoo Q.P.S.C,
Pandora,Alexander Lacik
Bank of Queensland,Patrick Newton James James
Jinke Property Group,Si Hai Jiang
Air Lease,John L. Plueger
Latour Ab Investment,
Haidilao International Holding,Li Yang
Oshkosh,John C. Pfeifer
Luzerner Kantonalbank,Daniel Salzmann
Akamai Technologies,Tom Leighton
Qingdao Rural Commercial Bank,Zong Bo Liu
South State,John C. Corbett
HubSpot,Yamini Rangan
Domino's Pizza,Russell John Weiner
Nitto Denko,Hideo Takasaki
Carlyle Group,
WT Microelectronics,Wen Tsung Cheng
Zenith Bank,Adaora Remy Umeoji
CP Axtra,Tanin Buranamanit
General Insurance Corporation Of India,Ramaswamy Narayanan
EMS-Chemie Holding,Magdalena Martullo-Blocher
F.N.B.,Vincent J. Delie
Nitori Holdings,Akio Nitori
Bank of Lanzhou,
"LG Innotek Co.,",Moon Hyuk-Soo
Drax Group plc,Dwight Daniel Willard
AVIC Capital,Zhong Cong
Jointown Pharmaceutical Group,Wei He
Yes Bank,Prashant Kumar
Yunnan Copper Co. Ltd.,
Basler Kantonalbank,Basil Heeb
Axis Capital Holdings,Vincent Christopher Tizzio
Bausch Health Companies,Thomas J. Appio
Nova Ljubljanska Banka,Blaž Brodnjak
Zhongliang Holdings,Chun Lei Huang
Pentair,John L. Stauch
CapitaMall Trust,Tony Tan
Samsung SDS,Sung-Woo Hwang
FIBI Holdings,Jacob Sitt
Mondi,Andrew King
RiseSun Real Estate Development,Jia Li Zou
"Iyogin Holdings,Inc.",
Bank of Xi'an,Guo Hong Chen
JB Financial Group,
Mid-america Apartment Communities,H. Eric Bolton
Burlington Stores,Michael B. O'Sullivan
Alfresa Holdings,Hiroyuki Kanome
Pinterest,William J. Ready
Rollins,Jerry E. Gahlhoff
Goneo GroupClass A,
Südzucker,Niels Heinrich Pörksen
Adris grupa d.d. Pref.,
Mobileye Global,
E-L Financial,Duncan N. R.
Logitech International,Hanneke Faber
Navient,David L. Yowan
Grupo Comercial Chedraui SAB de CV Class B,José Antonio Chedraui Eguía
NH Investment & Securities,
Liberty Media Corporation Series A Liberty Formula One,Gregory Ben Maffei
Hertz Global Holdings,Wayne Gilbert West
MicroStrategy,
Fibra Uno,André El-Mann Arazi
Novatek Microelectronics Corp.,
Redeia Corporacion,Roberto Garcia Merino
Samvardhana Motherson International,
Nomura Research Institute,Kaga Yanagisawa
Align Technology,Joseph M. Hogan
Bureau Veritas,Hinda Gharbi
Essex Property Trust,Angela L. Kleiman
JA Solar Technology,
Bluescope Steel,Mark Royce Vassella
Henry Schein,Stanley M. Bergman
Deutsche Pfandbriefbank,Kay Wolf
Hera,Orazio Carmelo Iacono
Harel Insurance Investments & Financial Services,Michel Siboni
KakaoBank,Ho-Young Yun
Pinnacle West,Jeffrey B. Guldner
Founder Securities,Li Gao
Tongling Nonferrous Metals,
Weihai City Commercial Bank,
Bharat Electronics Limited,Bhanu Prakash Srivastava
Ricoh,Akira Oyama
Xiamen Bank,
MongoDB,Dev C. Ittycheria
Phoenix Holdings,
Bank Of Gansu,Xin Li
Cosan,Nelson Roseira Gomes
Zscaler,Jagtar Singh Chaudhry
Bank Muscat,Waleed Khamis Al-Hashar
Manpower,Jonas Prising
Diebold Nixdorf,
Clorox,Linda Rendle
Metalurgica Gerdau,
Snap,Evan Thomas Spiegel
TopBuild,
Dentsu,Hiroshi Igarashi
Orient Securities,Xin Jun Pan
CSPC Pharmaceutical Group,
LS Corp,No-Hyun Myoung
Central Bank of India,Matam Venkat Rao
Yara International,Svein Tore Holsether
Bank of Maharashtra,Nidhu Saxena
Shimizu,Kazuyuki Inoue
Healthpeak Properties,Scott M. Brinker
Kawasaki Heavy Industries,
Tradeweb Markets,William Hult
Hyakugo Bank,Toshiyasu Ito
Indus Towers,Prachur Sah
Kesko,Jorma Antero Rauhala
China Power International Development,Bing Hua Wang
Kakao,Shin-ah Chung
Trelleborg Group,Peter Lennart Nilsson
Steel Authority of India,Anirban Dasgupta
CAPITEC,Gerrie Fourie
First Quantum Minerals,A. Tristan Pascall
Almarai,Abdullah bin Nasser Albader
Aurubis,Roland Harings
Banque Centrale Populaire,
Nexi S.p.A.,Paolo Bertoluzzo
Enstar Group,Dominic Francis Michael Silvester
Shiga Bank,Yoshio Daido
Tryg,
Erie Indemnity,Timothy G. NeCastro
Ramsay Health Care,Craig Ralph McNally
Var Energi ASA,Nicholas Walker
Viva Energy Group,Andrew Scott Wyatt
United Bank for Africa,Oliver Alawuba
Zall Smart Commerce Group,"Zhi Ping Qi, Zhi Yan"
Federal Bank,Shyam Srinivasan
Cloudflare,Matthew Browning Prince
MBH Bank Plc.,
PVH,Stefan Larsson
Aareal Bank,Jochen Klösges
Kohl's,Thomas A. Kingsbury
Samsung Securities,Jong-Moon Park
Momentum Metropolitan Holdings,Jeanette Marais Cilliers
Jinshang Bank,
Take-Two Interactive Software,Strauss H. Zelnick
DLF,Kushal P Singh
Johnson Matthey,Liam Condon
Aozora Bank,Hideto Oomi
Guangzhou Baiyunshan Pharmaceutical Holdings,Hong Li
Teradyne,Gregory Stephen Smith
Mercuries & Associates,Hsiang Li Chen
Rentokil Initial,Andrew M. Ransom
Juroku  Financial Group,Yukio Murase
Franco-Nevada,Paul J. Brink
Daito Trust Construction,Kei Takeuchi
nVent Electric,
Banco Davivienda,Javier José Suárez Esparragoza
Digital China Group,
Informa plc,Stephen Andrew Carter
Jiangxi Zhengbang Technology,Feng Lin
Seagate Technology,William David Mosley
Dr. Reddy's Laboratories,Erez Israeli
Avantor,Michael Stubblefield
St. Galler Kantonalbank,Christian Schmid
Essential Utilities,Christopher H. Franklin
Hanwa,Shuji Kita
Yunnan Baiyao Group,Ming Dong
Bank of Cyprus Holdings,Panicos Nicolaou
San-In Godo Bank,Ichiro Kubota
China Fortune Land Development,
Teleperformance,Daniel Ernest Henri
Inventec,
OneMain Holdings,Douglas H. Shulman
Organon,
FactSet Research Systems,Philip Snow
Varun Beverages,
Steris,Daniel A. Carestio
NIO,Bin Li
Open House,Masaaki Arai
TFI International,
BEKB-BCBE,Armin Brun
Sabesp,André Mendes
Scentre Group,
IHH Healthcare,Prem Kumar Nair
Tokyo Kiraboshi Financial Group,Hisanobu Watanabe
Shanxi Xishan Coal & Electricity Power Co. Ltd.,
Wharf (Holdings),Tin Hoi Ng
Cameco,Tim Gitzel Gitzel
CVR Energy,David L. Lamp
Guangzhou R&F,Li Zhang
Suzuken,Jian Wei Zhang
Logan Property Holdings,Zhuo Bin Lai
Schibsted ASA,Kristin Skogen Lund
Taylor Morrison Home,Sheryl D. Palmer
Barry Callebaut,Peter Feld
NIPPON EXPRESS HOLDINGS,Satoshi Horikiri
FMC,Mark A. Douglas
Ralph Lauren,Patrice Jean Louis Louvet
ALFA,Álvaro Fernández Garza
Commercial Metals,Peter R. Matt
Taisei,Takashi Yamauchi
Hologic,Stephen P. MacMillan
Signet Jewelers,Virginia C. Drosos
Inner Mongolia Yitai Coal,Jia Lin Yang
Masraf Al Rayan,
Saputo,Lino A. Saputo
Samsara,Sanjit Biswas
China Gas Holdings,Ming Hui Liu
EFG International,Piergiorgio G. Pradelli
Zhangzhou Pientzehuang Pharmaceutical,
Sumec Corporation,
Ipsen,David G. Loew
Manila Electric,
Public Power,Georgios Stassis
Cholamandalam Investment and Finance,
Yunnan Yuntianhua,
PTC,Neil Barua
UMB Financial,J. Mariner Kemper
arGEN-X,Tim van Hauwermeiren
Sharp,Po-Hsuan Wu
Kyndryl Holdings,
Lotte,Dong-Bin Shin MBA
Aichi Financial Group,
A.O. Smith,Kevin J. Wheeler
NMDC,Amitava Mukherjee
AltaGas,Vern D. Yu
Cogent Communications,
Axon Enterprise,
Nanto Bank,Takashi Hashimoto
Aier Eye Hospital Group,Li Li
XPO,Mario A. Harik
Toho Bank,Seishi Kitamura
Wisetech Global,Richard John White
Celsius Holdings,
Clal Insurance Enterprises,
Buzzi Unicem,
Canadian Tire Corporation,Greg Hicks
Ingredion,Jim Zallie
Ogaki Kyoritsu Bank,Toshiyuki Sakai
Euronav,
Saudi Investment Bank,
Nordson,Sundaram Nagarajan
H World Group,
Straumann Holding,
Ningbo Jintian Copper (Group),
Abb India,
China Merchants Energy Shipping,
Fluor,David Edward Constable
AmBank Group,Encik Eqhwan Mokhzanee Muhammad
Equatorial Energia,
Uniqa,Andreas Brandstetter
Delivery Hero,L. Niklas Östberg
Kimco Realty,Conor C. Flynn
Puig Brands,
Zhejiang Construction Investment Group,Jin Feng Ye
Keiyo Bank,Toshiyuki Kumagi
Sun Communities,Gary A. Shiffman
Roblox,David B. Baszucki
China Merchants Port Group,
DraftKings,Jason D. Robins
Guangdong Construction Engineering Group,
Angang Steel,Shi Shuai Xu
Sichuan Chuantou Energy,
Vietnam Prosperity Joint-sock Commercial Bank,Vinh Duc Nguyen
Adient,Jerome Dorlack MBA
CapitaLand Investment,Chee Koon Lee
Shanxi Lu'an Environmental,Hong Miao Shi
