Date,Open,High,Low,Close,Adj,Volume
"Sep 6, 2024","2,985.00","2,994.00","2,923.25","2,929.65","2,929.65","9,697,114"
"Sep 5, 2024","3,038.10","3,051.55","2,974.10","2,985.95","2,985.95","8,132,084"
"Sep 4, 2024","3,001.40","3,035.00","2,999.00","3,029.10","3,029.10","5,991,652"
"Sep 3, 2024","3,042.50","3,046.00","3,015.00","3,018.25","3,018.25","5,461,900"
"Sep 2, 2024","3,021.75","3,053.60","3,013.25","3,032.50","3,032.50","5,620,426"
"Aug 30, 2024","3,068.00","3,079.45","3,006.65","3,019.25","3,019.25","20,810,365"
"Aug 29, 2024","3,006.20","3,074.00","2,988.00","3,041.85","3,041.85","19,167,679"
"Aug 28, 2024","3,010.00","3,014.95","2,986.00","2,996.60","2,996.60","4,805,143"
"Aug 27, 2024","3,021.00","3,026.95","2,998.90","3,000.90","3,000.90","3,125,578"
"Aug 26, 2024","3,013.95","3,046.00","3,006.00","3,025.20","3,025.20","4,408,057"
"Aug 23, 2024","3,007.50","3,022.65","2,996.85","2,999.95","2,999.95","4,624,827"
"Aug 22, 2024","3,006.00","3,013.00","2,981.30","2,996.25","2,996.25","5,222,891"
"Aug 21, 2024","2,986.50","3,015.75","2,980.00","2,997.35","2,997.35","3,884,998"
"Aug 20, 2024","2,994.45","3,007.85","2,980.05","2,991.90","2,991.90","4,205,904"
"Aug 19, 2024",10.00 Dividend,,,,,
"Aug 19, 2024","2,965.00","2,996.60","2,961.00","2,976.80","2,976.80","6,898,871"
"Aug 16, 2024","2,937.30","2,960.80","2,916.10","2,956.40","2,946.40","4,708,451"
"Aug 14, 2024","2,927.10","2,944.00","2,907.40","2,923.70","2,913.81","3,133,733"
"Aug 13, 2024","2,921.50","2,940.15","2,916.00","2,927.25","2,917.35","3,132,532"
"Aug 12, 2024","2,940.00","2,946.00","2,915.50","2,921.25","2,911.37","4,092,292"
"Aug 9, 2024","2,920.00","2,953.00","2,912.00","2,948.60","2,938.63","3,124,888"
"Aug 8, 2024","2,915.05","2,930.00","2,891.85","2,898.25","2,888.45","6,193,596"
"Aug 7, 2024","2,938.00","2,945.00","2,923.00","2,929.65","2,919.74","4,087,284"
"Aug 6, 2024","2,910.30","2,955.00","2,902.65","2,912.10","2,902.25","5,118,093"
"Aug 5, 2024","2,960.00","2,967.80","2,866.50","2,894.65","2,884.86","8,523,352"
"Aug 2, 2024","3,010.00","3,018.65","2,986.55","2,998.65","2,988.51","5,134,124"
"Aug 1, 2024","3,024.00","3,036.00","3,008.60","3,030.60","3,020.35","5,382,111"
"Jul 31, 2024","3,008.00","3,020.90","3,002.30","3,010.85","3,000.67","5,028,673"
"Jul 30, 2024","3,034.05","3,050.00","3,020.00","3,026.30","3,016.06","4,114,104"
"Jul 29, 2024","3,023.90","3,055.00","3,023.55","3,040.20","3,029.92","3,769,275"
"Jul 26, 2024","2,984.80","3,024.85","2,980.70","3,018.05","3,007.84","4,929,970"
"Jul 25, 2024","2,962.00","3,000.95","2,954.15","2,984.80","2,974.70","6,259,938"
"Jul 24, 2024","2,970.00","3,019.00","2,952.80","2,991.40","2,981.28","5,956,681"
"Jul 23, 2024","3,002.00","3,011.50","2,926.00","2,975.80","2,965.73","9,026,022"
"Jul 22, 2024","3,074.50","3,075.00","2,998.55","3,001.35","2,991.20","9,837,188"
"Jul 19, 2024","3,172.00","3,179.95","3,105.60","3,110.30","3,099.78","6,570,195"
"Jul 18, 2024","3,152.00","3,187.80","3,115.65","3,173.35","3,162.62","6,149,187"
"Jul 16, 2024","3,187.00","3,200.00","3,138.25","3,152.50","3,141.84","4,693,419"
"Jul 15, 2024","3,208.90","3,211.70","3,171.00","3,194.45","3,183.64","2,664,844"
"Jul 12, 2024","3,169.00","3,210.30","3,149.00","3,193.45","3,182.65","6,462,392"
"Jul 11, 2024","3,175.00","3,208.50","3,141.00","3,161.30","3,150.61","5,970,473"
"Jul 10, 2024","3,190.00","3,195.00","3,126.30","3,168.45","3,157.73","3,567,289"
"Jul 9, 2024","3,195.20","3,201.00","3,161.00","3,180.55","3,169.79","3,480,001"
"Jul 8, 2024","3,178.00","3,217.60","3,165.05","3,201.80","3,190.97","4,750,403"
"Jul 5, 2024","3,107.65","3,197.00","3,096.00","3,177.25","3,166.50","6,134,855"
"Jul 4, 2024","3,114.00","3,135.00","3,101.60","3,108.05","3,097.54","3,418,588"
"Jul 3, 2024","3,132.65","3,150.00","3,085.55","3,104.85","3,094.35","4,524,810"
"Jul 2, 2024","3,139.00","3,147.00","3,114.00","3,130.35","3,119.76","3,874,623"
"Jul 1, 2024","3,125.05","3,158.80","3,111.35","3,120.30","3,109.75","3,862,153"
"Jun 28, 2024","3,062.05","3,162.00","3,062.05","3,130.80","3,120.21","14,478,668"
"Jun 27, 2024","3,027.50","3,075.00","3,012.00","3,061.10","3,050.75","14,191,515"
"Jun 26, 2024","2,892.10","3,037.95","2,890.25","3,028.05","3,017.81","11,007,441"
"Jun 25, 2024","2,886.00","2,911.85","2,882.00","2,908.30","2,898.46","3,522,693"
"Jun 24, 2024","2,891.05","2,899.00","2,875.00","2,882.95","2,873.20","4,439,193"
"Jun 21, 2024","2,947.25","2,949.40","2,881.15","2,908.40","2,898.56","15,585,180"
"Jun 20, 2024","2,918.00","2,965.70","2,900.20","2,947.40","2,937.43","8,056,888"
"Jun 19, 2024","2,975.00","2,975.00","2,912.00","2,917.30","2,907.43","4,362,937"
"Jun 18, 2024","2,974.70","2,974.80","2,942.70","2,962.05","2,952.03","3,598,383"
"Jun 14, 2024","2,940.00","2,959.35","2,914.45","2,955.10","2,945.10","4,078,999"
"Jun 13, 2024","2,944.00","2,944.50","2,920.20","2,930.50","2,920.59","4,590,580"
"Jun 12, 2024","2,915.00","2,952.00","2,910.35","2,926.65","2,916.75","5,040,871"
"Jun 11, 2024","2,938.00","2,947.35","2,909.35","2,913.35","2,903.50","5,887,451"
"Jun 10, 2024","2,939.90","2,986.70","2,936.15","2,942.80","2,932.85","4,625,880"
"Jun 7, 2024","2,857.00","2,944.00","2,853.00","2,939.90","2,929.96","9,279,348"
"Jun 6, 2024","2,870.00","2,887.40","2,842.70","2,863.20","2,853.52","8,927,861"
"Jun 5, 2024","2,844.00","2,862.30","2,768.20","2,841.50","2,831.89","8,732,445"
"Jun 4, 2024","2,996.10","2,996.10","2,718.60","2,794.55","2,785.10","18,354,549"
"Jun 3, 2024","2,966.00","3,029.00","2,918.00","3,020.65","3,010.43","10,763,971"
"May 31, 2024","2,862.60","2,884.50","2,844.50","2,860.80","2,851.12","15,534,916"
"May 30, 2024","2,871.00","2,880.80","2,840.20","2,849.70","2,840.06","6,603,429"
"May 29, 2024","2,893.00","2,916.00","2,876.90","2,881.55","2,871.80","3,691,778"
"May 28, 2024","2,936.00","2,957.00","2,905.50","2,912.40","2,902.55","3,910,081"
"May 27, 2024","2,960.45","2,969.80","2,923.10","2,932.50","2,922.58","3,314,505"
"May 24, 2024","2,967.25","2,977.00","2,952.20","2,960.50","2,950.49","3,547,388"
"May 23, 2024","2,917.10","2,984.45","2,910.00","2,972.10","2,962.05","7,304,130"
"May 22, 2024","2,872.55","2,937.55","2,872.55","2,921.30","2,911.42","5,140,802"
"May 21, 2024","2,851.20","2,883.65","2,851.20","2,872.25","2,862.53","5,588,064"
"May 17, 2024","2,846.10","2,874.40","2,826.50","2,871.40","2,861.69","5,458,238"
"May 16, 2024","2,837.10","2,855.00","2,796.05","2,850.70","2,841.06","7,355,887"
"May 15, 2024","2,841.00","2,859.95","2,826.05","2,832.55","2,822.97","2,523,267"
"May 14, 2024","2,801.95","2,854.15","2,800.05","2,840.15","2,830.54","3,594,150"
"May 13, 2024","2,799.80","2,813.95","2,768.00","2,805.40","2,795.91","4,228,310"
"May 10, 2024","2,793.50","2,820.00","2,776.15","2,814.85","2,805.33","5,252,548"
"May 9, 2024","2,826.00","2,847.50","2,780.00","2,788.25","2,778.82","5,504,806"
"May 8, 2024","2,795.00","2,865.90","2,795.00","2,837.10","2,827.50","4,719,501"
"May 7, 2024","2,831.95","2,841.50","2,784.00","2,802.95","2,793.47","7,258,736"
"May 6, 2024","2,871.00","2,880.00","2,836.00","2,839.05","2,829.45","3,697,104"
"May 3, 2024","2,942.00","2,949.90","2,832.30","2,868.00","2,858.30","8,613,479"
"May 2, 2024","2,944.00","2,954.65","2,928.25","2,933.10","2,923.18","7,256,323"
"Apr 30, 2024","2,936.00","2,966.15","2,925.75","2,934.00","2,924.08","5,737,131"
"Apr 29, 2024","2,900.00","2,935.80","2,900.00","2,930.05","2,920.14","3,623,987"
"Apr 26, 2024","2,927.90","2,930.00","2,900.00","2,905.10","2,895.27","4,706,924"
"Apr 25, 2024","2,885.00","2,935.95","2,883.00","2,919.95","2,910.07","7,971,963"
"Apr 24, 2024","2,927.00","2,937.10","2,899.00","2,900.35","2,890.54","5,231,388"
"Apr 23, 2024","2,958.00","2,987.00","2,911.10","2,918.65","2,908.78","7,302,777"
"Apr 22, 2024","2,944.90","2,965.65","2,935.60","2,959.70","2,949.69","5,175,181"
"Apr 19, 2024","2,913.55","2,948.00","2,886.05","2,940.25","2,930.30","7,870,889"
"Apr 18, 2024","2,927.00","2,972.00","2,918.70","2,928.65","2,918.74","9,502,846"
"Apr 16, 2024","2,906.70","2,942.35","2,901.85","2,931.50","2,921.58","4,683,092"
"Apr 15, 2024","2,922.00","2,964.25","2,892.65","2,929.65","2,919.74","6,451,031"
"Apr 12, 2024","2,951.75","2,972.95","2,926.15","2,934.30","2,924.37","7,775,506"
"Apr 10, 2024","2,932.70","2,974.00","2,932.70","2,959.15","2,949.14","4,569,165"
"Apr 9, 2024","2,978.00","2,979.60","2,925.00","2,927.30","2,917.40","3,535,707"
"Apr 8, 2024","2,925.95","2,981.95","2,922.00","2,971.95","2,961.90","4,178,559"
"Apr 5, 2024","2,921.75","2,941.60","2,912.00","2,920.20","2,910.32","3,721,149"
"Apr 4, 2024","2,959.50","2,959.50","2,900.00","2,925.85","2,915.95","7,245,136"
"Apr 3, 2024","2,964.15","2,968.90","2,937.80","2,943.20","2,933.24","3,504,146"
"Apr 2, 2024","2,968.00","2,988.00","2,950.00","2,973.90","2,963.84","4,455,083"
"Apr 1, 2024","2,984.95","2,987.95","2,965.00","2,969.55","2,959.51","2,506,940"
"Mar 28, 2024","2,985.75","3,011.90","2,957.30","2,971.70","2,961.65","10,927,182"
"Mar 27, 2024","2,896.00","3,000.00","2,894.00","2,985.70","2,975.60","8,163,322"
"Mar 26, 2024","2,890.00","2,904.80","2,878.00","2,883.15","2,873.40","5,707,953"
"Mar 22, 2024","2,899.95","2,920.00","2,894.70","2,910.05","2,900.21","9,763,804"
"Mar 21, 2024","2,905.05","2,915.80","2,889.35","2,901.95","2,892.13","6,503,468"
"Mar 20, 2024","2,855.90","2,890.00","2,848.05","2,887.50","2,877.73","4,244,403"
"Mar 19, 2024","2,857.50","2,875.20","2,834.50","2,850.50","2,840.86","4,137,882"
"Mar 18, 2024","2,840.00","2,883.45","2,833.05","2,878.95","2,869.21","4,584,696"
"Mar 15, 2024","2,851.90","2,866.45","2,825.80","2,836.45","2,826.86","9,611,909"
"Mar 14, 2024","2,879.40","2,897.05","2,851.00","2,862.95","2,853.27","9,285,551"
"Mar 13, 2024","2,959.55","2,966.20","2,855.55","2,864.35","2,854.66","6,761,067"
"Mar 12, 2024","2,933.20","2,976.00","2,930.05","2,950.85","2,940.87","4,716,339"
"Mar 11, 2024","2,978.00","2,978.00","2,927.00","2,933.20","2,923.28","5,638,565"
"Mar 7, 2024","3,005.95","3,006.20","2,951.10","2,957.85","2,947.85","4,157,863"
"Mar 6, 2024","2,986.90","3,018.00","2,957.00","3,006.00","2,995.83","3,902,838"
"Mar 5, 2024","3,011.55","3,014.80","2,972.10","3,000.40","2,990.25","3,553,834"
"Mar 4, 2024","2,980.95","3,024.90","2,974.45","3,014.80","3,004.60","5,012,210"
"Mar 1, 2024","2,927.00","3,000.00","2,925.00","2,984.25","2,974.16","6,066,463"
"Feb 29, 2024","2,930.00","2,957.95","2,909.05","2,921.60","2,911.72","11,814,488"
"Feb 28, 2024","2,966.00","2,982.55","2,900.35","2,911.25","2,901.40","4,323,975"
"Feb 27, 2024","2,966.05","2,999.90","2,956.10","2,971.30","2,961.25","5,413,022"
"Feb 26, 2024","2,987.10","2,989.05","2,965.00","2,974.65","2,964.59","3,756,553"
"Feb 23, 2024","2,979.00","2,995.10","2,966.70","2,987.25","2,977.15","7,219,292"
"Feb 22, 2024","2,936.30","2,969.90","2,916.00","2,963.50","2,953.48","9,246,864"
"Feb 21, 2024","2,948.00","2,977.05","2,915.10","2,935.40","2,925.47","6,360,146"
"Feb 20, 2024","2,950.05","2,951.00","2,923.60","2,942.05","2,932.10","3,558,748"
"Feb 19, 2024","2,924.10","2,959.00","2,907.05","2,948.00","2,938.03","3,364,914"
"Feb 16, 2024","2,952.95","2,954.00","2,917.10","2,921.15","2,911.27","4,883,749"
"Feb 15, 2024","2,966.70","2,969.45","2,933.05","2,941.20","2,931.25","5,003,391"
"Feb 14, 2024","2,915.00","2,967.30","2,915.00","2,962.75","2,952.73","3,558,944"
"Feb 13, 2024","2,911.00","2,958.00","2,908.00","2,930.20","2,920.29","3,857,797"
"Feb 12, 2024","2,921.50","2,922.00","2,884.70","2,904.70","2,894.87","3,337,215"
"Feb 9, 2024","2,908.00","2,943.95","2,901.90","2,921.50","2,911.62","6,278,399"
"Feb 8, 2024","2,900.00","2,918.95","2,855.05","2,900.25","2,890.44","7,347,317"
"Feb 7, 2024","2,871.85","2,899.00","2,858.50","2,884.30","2,874.54","4,648,284"
"Feb 6, 2024","2,883.70","2,883.70","2,839.65","2,855.60","2,845.94","4,523,992"
"Feb 5, 2024","2,921.50","2,941.00","2,863.05","2,878.05","2,868.31","4,407,216"
"Feb 2, 2024","2,866.35","2,949.80","2,866.35","2,915.40","2,905.54","9,826,294"
"Feb 1, 2024","2,870.00","2,886.70","2,836.10","2,853.30","2,843.65","6,674,681"
"Jan 31, 2024","2,808.00","2,868.50","2,805.00","2,853.25","2,843.60","7,565,113"
"Jan 30, 2024","2,919.90","2,919.95","2,808.85","2,815.25","2,805.73","7,046,989"
"Jan 29, 2024","2,729.00","2,905.00","2,720.35","2,896.10","2,886.30","11,946,719"
"Jan 25, 2024","2,685.90","2,728.30","2,670.40","2,706.15","2,697.00","5,904,436"
"Jan 24, 2024","2,670.45","2,699.00","2,647.85","2,687.75","2,678.66","10,959,564"
"Jan 23, 2024","2,743.50","2,743.50","2,645.10","2,657.15","2,648.16","10,027,710"
"Jan 19, 2024","2,752.00","2,752.00","2,718.00","2,734.90","2,725.65","5,211,352"
"Jan 18, 2024","2,702.80","2,742.00","2,702.50","2,735.90","2,726.65","5,139,719"
"Jan 17, 2024","2,719.00","2,772.55","2,710.05","2,723.15","2,713.94","6,098,691"
"Jan 16, 2024","2,779.95","2,792.60","2,741.00","2,749.25","2,739.95","4,534,512"
"Jan 15, 2024","2,750.00","2,792.90","2,732.00","2,788.25","2,778.82","4,305,297"
"Jan 12, 2024","2,719.80","2,746.65","2,691.50","2,741.45","2,732.18","7,506,082"
"Jan 11, 2024","2,659.00","2,725.00","2,657.00","2,719.80","2,710.60","11,862,926"
"Jan 10, 2024","2,577.00","2,659.00","2,575.05","2,650.10","2,641.14","5,551,370"
"Jan 9, 2024","2,600.00","2,606.80","2,577.20","2,580.50","2,571.77","2,701,537"
"Jan 8, 2024","2,610.00","2,631.95","2,568.95","2,587.35","2,578.60","3,867,326"
"Jan 5, 2024","2,602.90","2,619.85","2,598.00","2,607.70","2,598.88","4,043,203"
"Jan 4, 2024","2,588.00","2,609.85","2,579.10","2,596.65","2,587.87","4,806,389"
"Jan 3, 2024","2,610.00","2,634.00","2,577.20","2,583.30","2,574.56","4,518,768"
"Jan 2, 2024","2,585.00","2,615.00","2,573.00","2,611.70","2,602.87","3,724,400"
"Jan 1, 2024","2,580.55","2,606.85","2,573.15","2,590.25","2,581.49","2,015,270"
"Dec 29, 2023","2,611.10","2,614.00","2,579.30","2,584.95","2,576.21","5,432,292"
"Dec 28, 2023","2,589.80","2,612.00","2,586.85","2,605.55","2,596.74","6,151,318"
"Dec 27, 2023","2,582.00","2,599.90","2,573.10","2,586.85","2,578.10","4,602,078"
"Dec 26, 2023","2,568.00","2,591.95","2,562.70","2,578.05","2,569.33","3,732,832"
"Dec 22, 2023","2,559.60","2,580.90","2,547.65","2,565.05","2,556.37","8,270,892"
"Dec 21, 2023","2,527.00","2,573.50","2,518.25","2,562.55","2,553.88","6,882,727"
"Dec 20, 2023","2,571.05","2,598.85","2,520.00","2,527.15","2,518.60","8,868,361"
"Dec 19, 2023","2,555.00","2,573.90","2,525.20","2,558.10","2,549.45","8,410,302"
"Dec 18, 2023","2,495.60","2,534.90","2,490.95","2,521.00","2,512.47","7,082,594"
"Dec 15, 2023","2,478.00","2,500.00","2,470.05","2,495.60","2,487.16","7,966,076"
"Dec 14, 2023","2,454.00","2,474.95","2,442.65","2,464.15","2,455.81","8,486,177"
"Dec 13, 2023","2,422.00","2,438.35","2,406.30","2,433.95","2,425.72","5,015,591"
"Dec 12, 2023","2,460.00","2,464.95","2,420.15","2,424.05","2,415.85","4,598,562"
"Dec 11, 2023","2,456.00","2,467.60","2,452.40","2,459.35","2,451.03","3,533,069"
"Dec 8, 2023","2,463.85","2,476.70","2,445.00","2,455.75","2,447.44","5,102,447"
"Dec 7, 2023","2,460.00","2,460.95","2,442.00","2,457.05","2,448.74","4,071,048"
"Dec 6, 2023","2,447.10","2,472.95","2,435.00","2,461.10","2,452.78","8,211,221"
"Dec 5, 2023","2,439.00","2,440.85","2,421.65","2,437.75","2,429.50","6,346,812"
"Dec 4, 2023","2,450.00","2,450.00","2,398.60","2,420.20","2,412.01","7,795,495"
"Dec 1, 2023","2,378.00","2,396.40","2,377.60","2,394.30","2,386.20","7,171,421"
"Nov 30, 2023","2,394.70","2,400.70","2,369.90","2,377.45","2,369.41","14,219,992"
"Nov 29, 2023","2,408.00","2,411.95","2,398.05","2,400.70","2,392.58","6,265,653"
"Nov 28, 2023","2,393.90","2,399.70","2,375.25","2,394.40","2,386.30","6,896,087"
"Nov 24, 2023","2,391.60","2,402.60","2,391.05","2,393.90","2,385.80","3,374,743"
"Nov 23, 2023","2,388.20","2,400.00","2,388.20","2,395.50","2,387.40","4,265,771"
"Nov 22, 2023","2,375.00","2,394.45","2,372.20","2,388.20","2,380.12","4,267,407"
"Nov 21, 2023","2,366.00","2,388.00","2,360.20","2,378.90","2,370.85","4,107,225"
"Nov 20, 2023","2,348.55","2,358.40","2,336.40","2,349.35","2,341.40","2,245,093"
"Nov 17, 2023","2,352.90","2,373.25","2,352.05","2,355.55","2,347.58","3,879,317"
"Nov 16, 2023","2,351.10","2,374.15","2,346.95","2,360.70","2,352.71","6,567,455"
"Nov 15, 2023","2,340.00","2,361.95","2,327.00","2,356.45","2,348.48","6,110,324"
"Nov 13, 2023","2,322.90","2,324.60","2,311.70","2,314.60","2,306.77","1,927,405"
"Nov 10, 2023","2,305.55","2,316.35","2,298.05","2,314.90","2,307.07","3,867,477"
"Nov 9, 2023","2,335.85","2,335.90","2,304.20","2,310.55","2,302.73","7,256,805"
"Nov 8, 2023","2,332.00","2,341.00","2,321.75","2,335.90","2,328.00","3,942,247"
"Nov 7, 2023","2,334.05","2,339.10","2,319.55","2,323.80","2,315.94","3,480,102"
"Nov 6, 2023","2,332.30","2,340.00","2,325.60","2,339.00","2,331.09","5,323,652"
"Nov 3, 2023","2,327.20","2,334.95","2,315.75","2,319.70","2,311.85","4,425,078"
"Nov 2, 2023","2,313.95","2,324.30","2,307.95","2,320.20","2,312.35","5,281,052"
"Nov 1, 2023","2,289.15","2,317.50","2,275.20","2,297.40","2,289.63","5,154,595"
"Oct 31, 2023","2,328.00","2,328.00","2,282.90","2,287.90","2,280.16","6,404,219"
"Oct 30, 2023","2,274.00","2,325.00","2,269.95","2,312.50","2,304.68","8,406,652"
"Oct 27, 2023","2,240.00","2,273.50","2,235.95","2,265.80","2,258.14","5,885,542"
"Oct 26, 2023","2,251.00","2,258.00","2,220.30","2,226.50","2,218.97","7,611,267"
"Oct 25, 2023","2,250.05","2,281.20","2,243.00","2,257.95","2,250.31","5,810,344"
"Oct 23, 2023","2,290.00","2,306.25","2,255.25","2,263.20","2,255.54","3,926,981"
"Oct 20, 2023","2,300.00","2,314.70","2,296.30","2,299.10","2,291.32","4,456,656"
"Oct 19, 2023","2,312.00","2,321.80","2,301.00","2,306.15","2,298.35","6,016,278"
"Oct 18, 2023","2,355.25","2,367.00","2,321.00","2,324.00","2,316.14","4,459,160"
"Oct 17, 2023","2,356.00","2,359.70","2,341.30","2,355.25","2,347.28","3,964,090"
"Oct 16, 2023","2,345.00","2,354.55","2,336.00","2,344.05","2,336.12","2,964,518"
"Oct 13, 2023","2,340.00","2,357.50","2,329.15","2,349.30","2,341.35","5,075,158"
"Oct 12, 2023","2,343.85","2,359.35","2,338.15","2,349.40","2,341.45","6,277,225"
"Oct 11, 2023","2,314.45","2,349.70","2,313.00","2,345.05","2,337.12","4,907,059"
"Oct 10, 2023","2,306.55","2,317.90","2,303.75","2,308.40","2,300.59","5,118,016"
"Oct 9, 2023","2,308.10","2,311.95","2,295.00","2,298.25","2,290.48","3,788,439"
"Oct 6, 2023","2,317.05","2,324.80","2,312.05","2,318.00","2,310.16","2,715,513"
"Oct 5, 2023","2,319.25","2,329.40","2,309.00","2,314.10","2,306.27","5,476,841"
"Oct 4, 2023","2,309.00","2,319.00","2,295.10","2,314.15","2,306.32","5,143,193"
"Oct 3, 2023","2,329.95","2,335.60","2,316.00","2,318.15","2,310.31","4,429,528"
"Sep 29, 2023","2,341.80","2,369.10","2,334.10","2,345.00","2,337.07","6,171,007"
"Sep 28, 2023","2,383.00","2,383.00","2,325.00","2,334.10","2,326.21","7,259,173"
"Sep 27, 2023","2,343.50","2,371.80","2,338.50","2,368.90","2,360.89","5,861,389"
"Sep 26, 2023","2,338.55","2,350.20","2,335.60","2,342.50","2,334.58","5,043,891"
"Sep 25, 2023","2,350.40","2,360.70","2,335.10","2,340.45","2,332.53","7,127,442"
"Sep 22, 2023","2,376.00","2,382.45","2,350.00","2,354.95","2,346.98","9,588,393"
"Sep 21, 2023","2,374.95","2,390.10","2,360.00","2,364.80","2,356.80","6,113,091"
"Sep 20, 2023","2,423.05","2,427.60","2,355.00","2,382.15","2,374.09","28,540,942"
"Sep 18, 2023","2,440.05","2,451.00","2,432.05","2,436.45","2,428.21","3,758,150"
"Sep 15, 2023","2,468.00","2,468.00","2,449.50","2,457.85","2,449.54","12,734,296"
"Sep 14, 2023","2,460.00","2,465.80","2,445.00","2,453.30","2,445.00","4,604,818"
"Sep 13, 2023","2,440.00","2,462.65","2,426.25","2,451.05","2,442.76","6,401,669"
"Sep 12, 2023","2,483.00","2,483.00","2,435.95","2,438.85","2,430.60","8,127,833"
"Sep 11, 2023","2,452.00","2,476.85","2,452.00","2,474.60","2,466.23","6,635,537"
"Sep 8, 2023","2,440.00","2,456.00","2,422.95","2,448.20","2,439.92","11,554,644"
"Sep 7, 2023","2,421.70","2,438.25","2,411.00","2,432.00","2,423.77","6,826,286"
"Sep 6, 2023","2,421.10","2,436.15","2,417.25","2,428.70","2,420.48","4,100,185"
